"location","date","age_group","target","value","population"
"36","2023-05-06","0.5-0.99","inc hosp",0,107373
"36","2023-04-29","0.5-0.99","rate hosp",0,107373
"36","2023-04-29","0.5-0.99","inc hosp",0,107373
"36","2023-04-22","0.5-0.99","rate hosp",0,107373
"36","2023-04-22","0.5-0.99","inc hosp",0,107373
"36","2023-04-15","0.5-0.99","rate hosp",0,107373
"36","2023-04-15","0.5-0.99","inc hosp",0,107373
"36","2023-04-08","0.5-0.99","rate hosp",0,107373
"36","2023-04-08","0.5-0.99","inc hosp",0,107373
"36","2023-04-01","0.5-0.99","rate hosp",0,107373
"36","2023-04-01","0.5-0.99","inc hosp",0,107373
"36","2023-03-25","0.5-0.99","rate hosp",0,107373
"36","2023-03-25","0.5-0.99","inc hosp",0,107373
"36","2023-03-18","0.5-0.99","rate hosp",0,107373
"36","2023-03-18","0.5-0.99","inc hosp",0,107373
"36","2023-03-11","0.5-0.99","rate hosp",0,107373
"36","2023-03-11","0.5-0.99","inc hosp",0,107373
"36","2023-03-04","0.5-0.99","rate hosp",0,107373
"36","2023-03-04","0.5-0.99","inc hosp",0,107373
"36","2023-02-25","0.5-0.99","rate hosp",0,107373
"36","2023-02-25","0.5-0.99","inc hosp",0,107373
"36","2023-02-18","0.5-0.99","rate hosp",11.4,107373
"36","2023-02-18","0.5-0.99","inc hosp",12.240522,107373
"36","2023-02-11","0.5-0.99","rate hosp",11.4,107373
"36","2023-02-11","0.5-0.99","inc hosp",12.240522,107373
"36","2023-02-04","0.5-0.99","rate hosp",0,107373
"36","2023-02-04","0.5-0.99","inc hosp",0,107373
"36","2023-01-28","0.5-0.99","rate hosp",0,107373
"36","2023-01-28","0.5-0.99","inc hosp",0,107373
"36","2023-01-21","0.5-0.99","rate hosp",11.4,107373
"36","2023-01-21","0.5-0.99","inc hosp",12.240522,107373
"36","2023-01-14","0.5-0.99","rate hosp",11.4,107373
"36","2023-01-14","0.5-0.99","inc hosp",12.240522,107373
"36","2023-01-07","0.5-0.99","rate hosp",0,107373
"36","2023-01-07","0.5-0.99","inc hosp",0,107373
"36","2022-12-31","0.5-0.99","rate hosp",11.4,107373
"36","2022-12-31","0.5-0.99","inc hosp",12.240522,107373
"36","2022-12-24","0.5-0.99","rate hosp",34.1,107373
"36","2022-12-24","0.5-0.99","inc hosp",36.614193,107373
"36","2022-12-17","0.5-0.99","rate hosp",11.4,107373
"36","2022-12-17","0.5-0.99","inc hosp",12.240522,107373
"36","2022-12-10","0.5-0.99","rate hosp",45.5,107373
"36","2022-12-10","0.5-0.99","inc hosp",48.854715,107373
"36","2022-12-03","0.5-0.99","rate hosp",56.9,107373
"36","2022-12-03","0.5-0.99","inc hosp",61.095237,107373
"36","2022-11-26","0.5-0.99","rate hosp",68.2,107373
"36","2022-11-26","0.5-0.99","inc hosp",73.228386,107373
"36","2022-11-19","0.5-0.99","rate hosp",136.5,107373
"36","2022-11-19","0.5-0.99","inc hosp",146.564145,107373
"36","2022-11-12","0.5-0.99","rate hosp",147.9,107373
"36","2022-11-12","0.5-0.99","inc hosp",158.804667,107373
"36","2022-11-05","0.5-0.99","rate hosp",125.1,107373
"36","2022-11-05","0.5-0.99","inc hosp",134.323623,107373
"36","2022-10-29","0.5-0.99","rate hosp",227.5,107373
"36","2022-10-29","0.5-0.99","inc hosp",244.273575,107373
"36","2022-10-22","0.5-0.99","rate hosp",136.5,107373
"36","2022-10-22","0.5-0.99","inc hosp",146.564145,107373
"36","2022-10-15","0.5-0.99","rate hosp",56.9,107373
"36","2022-10-15","0.5-0.99","inc hosp",61.095237,107373
"36","2022-10-08","0.5-0.99","rate hosp",22.7,107373
"36","2022-10-08","0.5-0.99","inc hosp",24.373671,107373
"35","2023-09-30","0.5-0.99","rate hosp",0,10415
"35","2023-09-30","0.5-0.99","inc hosp",0,10415
"35","2023-09-23","0.5-0.99","rate hosp",0,10415
"35","2023-09-23","0.5-0.99","inc hosp",0,10415
"35","2023-09-16","0.5-0.99","rate hosp",0,10415
"35","2023-09-16","0.5-0.99","inc hosp",0,10415
"35","2023-09-09","0.5-0.99","rate hosp",0,10415
"35","2023-09-09","0.5-0.99","inc hosp",0,10415
"35","2023-09-02","0.5-0.99","rate hosp",0,10415
"35","2023-09-02","0.5-0.99","inc hosp",0,10415
"35","2023-08-26","0.5-0.99","rate hosp",0,10415
"35","2023-08-26","0.5-0.99","inc hosp",0,10415
"35","2023-08-19","0.5-0.99","rate hosp",0,10415
"35","2023-08-19","0.5-0.99","inc hosp",0,10415
"35","2023-08-12","0.5-0.99","rate hosp",0,10415
"35","2023-08-12","0.5-0.99","inc hosp",0,10415
"35","2023-08-05","0.5-0.99","rate hosp",0,10415
"35","2023-08-05","0.5-0.99","inc hosp",0,10415
"35","2023-07-29","0.5-0.99","rate hosp",0,10415
"35","2023-07-29","0.5-0.99","inc hosp",0,10415
"35","2023-07-22","0.5-0.99","rate hosp",0,10415
"35","2023-07-22","0.5-0.99","inc hosp",0,10415
"35","2023-07-15","0.5-0.99","rate hosp",0,10415
"35","2023-07-15","0.5-0.99","inc hosp",0,10415
"35","2023-07-08","0.5-0.99","rate hosp",0,10415
"35","2023-07-08","0.5-0.99","inc hosp",0,10415
"35","2023-07-01","0.5-0.99","rate hosp",0,10415
"35","2023-07-01","0.5-0.99","inc hosp",0,10415
"35","2023-06-24","0.5-0.99","rate hosp",0,10415
"35","2023-06-24","0.5-0.99","inc hosp",0,10415
"35","2023-06-17","0.5-0.99","rate hosp",0,10415
"35","2023-06-17","0.5-0.99","inc hosp",0,10415
"35","2023-06-10","0.5-0.99","rate hosp",0,10415
"35","2023-06-10","0.5-0.99","inc hosp",0,10415
"35","2023-06-03","0.5-0.99","rate hosp",0,10415
"35","2023-06-03","0.5-0.99","inc hosp",0,10415
"35","2023-05-27","0.5-0.99","rate hosp",0,10415
"35","2023-05-27","0.5-0.99","inc hosp",0,10415
